
  ThroughputTx: 8031.25 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 8031.25 kbps	
  ThroughputTx: 8031.25 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 8031.25 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 26101.6 kbps	
  ThroughputTx: 8031.25 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 8031.25 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 1003.91 kbps	  ThroughputTx: 26101.6 kbps	
  ThroughputTx: 8237.11 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 8237.11 kbps	
  ThroughputTx: 8237.11 kbps	  ThroughputTx: 1028.32 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 9265.43 kbps	
  ThroughputTx: 8242.38 kbps	  ThroughputTx: 1028.32 kbps	  ThroughputTx: 8237.11 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 17507.8 kbps	
  ThroughputTx: 8242.38 kbps	  ThroughputTx: 1033.59 kbps	  ThroughputTx: 8237.11 kbps	  ThroughputTx: 1028.32 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 18541.4 kbps	
  ThroughputTx: 8242.38 kbps	  ThroughputTx: 1033.59 kbps	  ThroughputTx: 8242.38 kbps	  ThroughputTx: 1028.32 kbps	  ThroughputTx: 1028.32 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 19575 kbps	
  ThroughputTx: 8242.38 kbps	  ThroughputTx: 1033.59 kbps	  ThroughputTx: 8242.38 kbps	  ThroughputTx: 1033.59 kbps	  ThroughputTx: 1028.32 kbps	  ThroughputTx: 1028.32 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 20608.6 kbps	
  ThroughputTx: 8237.11 kbps	  ThroughputTx: 1028.32 kbps	  ThroughputTx: 8242.38 kbps	  ThroughputTx: 1033.59 kbps	  ThroughputTx: 1033.59 kbps	  ThroughputTx: 1028.32 kbps	  ThroughputTx: 1028.32 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 21631.6 kbps	
  ThroughputTx: 8237.11 kbps	  ThroughputTx: 1028.32 kbps	  ThroughputTx: 8242.38 kbps	  ThroughputTx: 1033.59 kbps	  ThroughputTx: 1033.59 kbps	  ThroughputTx: 1033.59 kbps	  ThroughputTx: 1028.32 kbps	  ThroughputTx: 1028.32 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 22665.2 kbps	
