23p	1.05754
24p	1.05806
27p	1.05857
29p	1.05909
30p	1.0596
32p	1.06012
33p	1.06063
33p	1.06115
35p	1.06166
37p	1.06218
39p	1.06269
41p	1.06321
41p	1.06372
41p	1.06424
41p	1.06475
42p	1.06527
43p	1.06578
46p	1.0663
47p	1.06681
50p	1.06733
51p	1.06784
50p	1.06836
51p	1.06887
53p	1.06939
54p	1.0699
56p	1.07042
57p	1.07093
57p	1.07145
58p	1.07196
61p	1.07248
61p	1.07299
62p	1.07351
63p	1.07402
63p	1.07454
64p	1.07505
65p	1.07557
67p	1.07608
69p	1.0766
71p	1.07711
71p	1.07763
71p	1.07814
72p	1.07866
73p	1.07917
74p	1.07969
74p	1.0802
74p	1.08072
73p	1.08123
74p	1.08175
76p	1.08226
79p	1.08278
79p	1.08329
81p	1.08381
82p	1.08432
82p	1.08484
82p	1.08535
84p	1.08587
86p	1.08638
86p	1.0869
86p	1.08741
88p	1.08793
89p	1.08844
91p	1.08896
92p	1.08947
94p	1.08999
97p	1.0905
98p	1.09102
99p	1.09153
99p	1.09205
101p	1.09256
103p	1.09308
105p	1.09359
104p	1.09411
105p	1.09462
107p	1.09514
107p	1.09565
106p	1.09617
107p	1.09668
111p	1.0972
113p	1.09771
112p	1.09823
112p	1.09874
114p	1.09926
116p	1.09977
116p	1.10029
116p	1.1008
117p	1.10132
118p	1.10183
120p	1.10235
121p	1.10286
123p	1.10338
126p	1.10389
128p	1.10441
127p	1.10492
128p	1.10544
131p	1.10595
131p	1.10647
132p	1.10698
133p	1.1075
134p	1.10801
136p	1.10853
138p	1.10904
139p	1.10956
140p	1.11007
140p	1.11059
141p	1.1111
144p	1.11162
145p	1.11213
145p	1.11265
145p	1.11316
145p	1.11368
147p	1.11419
149p	1.11471
150p	1.11522
151p	1.11574
153p	1.11625
154p	1.11677
153p	1.11728
155p	1.1178
157p	1.11831
158p	1.11883
160p	1.11934
160p	1.11986
162p	1.12037
162p	1.12089
165p	1.1214
167p	1.12192
168p	1.12243
170p	1.12295
173p	1.12346
173p	1.12398
173p	1.12449
173p	1.12501
174p	1.12552
176p	1.12604
178p	1.12655
178p	1.12707
179p	1.12758
179p	1.1281
181p	1.12861
183p	1.12913
184p	1.12964
186p	1.13016
188p	1.13067
189p	1.13119
192p	1.1317
193p	1.13222
195p	1.13273
196p	1.13325
197p	1.13376
199p	1.13428
200p	1.13479
202p	1.13531
203p	1.13582
203p	1.13634
203p	1.13685
205p	1.13737
207p	1.13788
206p	1.1384
207p	1.13891
209p	1.13943
211p	1.13994
210p	1.14046
211p	1.14097
212p	1.14149
214p	1.142
216p	1.14252
217p	1.14303
218p	1.14355
219p	1.14406
221p	1.14458
222p	1.14509
222p	1.14561
223p	1.14612
223p	1.14664
224p	1.14715
227p	1.14767
230p	1.14818
230p	1.1487
229p	1.14921
230p	1.14973
232p	1.15024
234p	1.15076
233p	1.15127
232p	1.15179
232p	1.1523
235p	1.15282
237p	1.15333
239p	1.15385
239p	1.15436
239p	1.15488
241p	1.15539
243p	1.15591
243p	1.15642
243p	1.15694
246p	1.15745
248p	1.15797
249p	1.15848
250p	1.159
251p	1.15951
252p	1.16003
252p	1.16054
253p	1.16106
254p	1.16157
256p	1.16209
259p	1.1626
261p	1.16312
265p	1.16363
267p	1.16415
268p	1.16466
269p	1.16518
268p	1.16569
269p	1.16621
270p	1.16672
272p	1.16724
273p	1.16775
274p	1.16827
275p	1.16878
276p	1.1693
279p	1.16981
280p	1.17033
280p	1.17084
282p	1.17136
284p	1.17187
284p	1.17239
283p	1.1729
282p	1.17342
281p	1.17393
280p	1.17445
281p	1.17496
285p	1.17548
287p	1.17599
288p	1.17651
289p	1.17702
291p	1.17754
292p	1.17805
292p	1.17857
292p	1.17908
292p	1.1796
292p	1.18011
291p	1.18063
292p	1.18114
294p	1.18166
295p	1.18217
296p	1.18269
298p	1.1832
300p	1.18372
302p	1.18423
304p	1.18475
304p	1.18526
304p	1.18578
305p	1.18629
306p	1.18681
308p	1.18732
308p	1.18784
308p	1.18835
308p	1.18887
310p	1.18938
310p	1.1899
311p	1.19041
312p	1.19093
313p	1.19144
314p	1.19196
315p	1.19247
317p	1.19299
320p	1.1935
320p	1.19402
323p	1.19453
327p	1.19505
327p	1.19556
328p	1.19608
330p	1.19659
331p	1.19711
331p	1.19762
330p	1.19814
330p	1.19865
331p	1.19917
331p	1.19968
330p	1.2002
332p	1.20071
334p	1.20123
333p	1.20174
332p	1.20226
332p	1.20277
333p	1.20329
334p	1.2038
336p	1.20432
338p	1.20483
340p	1.20535
341p	1.20586
344p	1.20638
346p	1.20689
348p	1.20741
351p	1.20792
351p	1.20844
351p	1.20895
353p	1.20947
357p	1.20998
358p	1.2105
359p	1.21101
360p	1.21153
361p	1.21204
362p	1.21256
363p	1.21307
363p	1.21359
364p	1.2141
366p	1.21462
367p	1.21513
